Hora,SO2 ,NO ,PM1.0 ,PM2.5 ,O3 ,CO,NO2 
14,3,30,4,6,73,0.1,5
15,3,9,4,6,75,0.1,5
16,3,9,4,6,74,0.1,5
17,3,8,4,7,73,0.1,5
18,3,8,4,7,70,0.1,6
19,3,9,4,7,59,0.1,12
20,3,8,4,9,47,0.1,22
21,3,8,4,7,47,0.1,21
22,3,9,4,8,49,0.1,20
23,3,7,4,6,54,0.1,16
24,3,9,4,8,56,0.1,16
1,3,7,4,6,56,0.1,14
2,3,6,4,6,56,0.1,13
3,3,10,4,6,57,0.1,10
4,3,9,5,8,60,0.1,7
5,3,11,5,6,58,0.1,8
6,3,15,4,6,45,0.1,20
7,3,8,9,10,49,0.1,19
8,3,11,10,11,35,0.1,35
9,3,N,22,11,53,0.1,N
10,3,15,11,8,61,0.1,3
11,3,29,24,8,63,0.1,5
12,3,29,22,6,64,0.1,4
13,3,14,19,4,65,0.1,7
14,3,7,6,7,68,0.1,4
15,3,6,9,7,69,0.1,4
16,3,7,10,8,67,0.1,4
17,3,7,10,9,63,0.1,7
18,3,7,10,10,57,0.1,8
19,3,7,12,8,54,0.1,7
20,3,8,14,8,42,0.1,17
21,3,7,8,8,45,0.1,16
22,3,8,6,8,36,0.1,25
23,3,8,6,11,38,0.1,26
24,3,7,8,9,51,0.1,12
1,3,7,12,8,52,0.1,8
2,3,8,21,7,52,0.1,6
3,3,7,15,8,54,0.1,5
4,3,7,10,5,51,0.1,6
5,3,8,16,6,48,0.1,9
6,3,7,6,8,47,0.1,11
7,3,8,6,5,37,0.1,20
8,3,11,99,8,26,0.3,34
9,3,11,62,10,40,0.1,20
10,3,9,11,10,53,0.1,9
11,3,8,8,6,56,0.1,5
12,3,8,11,6,57,0.1,4
13,3,8,17,8,56,0.1,4
14,3,7,9,8,55,0.1,4
15,3,8,6,6,56,0.1,4
16,3,7,11,4,54,0.1,4
17,3,8,14,10,54,0.1,4
18,3,8,10,7,47,0.1,8
19,3,8,12,8,46,0.1,10
20,3,8,9,7,41,0.1,15
21,3,8,6,7,44,0.1,13
22,3,8,6,5,46,0.1,10
23,3,8,6,8,42,0.1,13
24,3,8,14,6,40,0.1,15
1,3,7,9,5,43,0.1,13
2,3,9,4,7,46,0.1,9
3,3,7,4,6,45,0.1,8
4,3,8,4,6,46,0.1,8
5,3,7,4,6,47,0.1,7
6,3,8,4,8,46,0.1,8
7,3,8,4,6,44,0.1,11
8,3,9,5,13,42,0.1,13
9,3,9,19,15,52,0.1,11
10,3,8,11,11,62,0.1,6
11,3,10,16,11,61,0.1,9
12,3,8,19,11,65,0.1,7
13,3,8,18,11,64,0.1,4
14,3,9,24,11,64,0.1,5
15,3,9,29,11,59,0.1,10
16,3,9,22,12,69,0.1,7
17,3,8,13,11,65,0.1,5
18,3,8,14,13,60,0.1,5
19,3,7,15,11,35,0.1,18
20,3,10,10,12,19,0.1,33
21,3,8,4,36,24,0.1,23
22,3,8,38,34,43,0.1,14
23,3,8,21,19,35,0.1,21
24,3,7,18,9,44,0.1,11
1,3,8,14,5,46,0.1,11
2,3,8,4,11,47,0.1,8
3,3,7,4,13,45,0.1,11
4,3,9,6,12,36,0.1,20
5,3,7,11,13,45,0.1,16
6,3,8,12,6,38,0.1,20
7,3,8,12,8,38,0.1,20
8,3,9,15,16,39,0.1,22
9,3,10,30,17,60,0.1,12
10,3,8,23,11,73,0.1,5
11,3,8,23,11,76,0.1,4
12,3,8,25,11,80,0.1,4
13,3,9,22,8,80,0.1,4
14,3,8,27,6,81,0.1,5
15,3,8,32,11,81,0.1,4
16,3,7,21,11,81,0.1,4
17,3,8,29,15,84,0.1,5
18,3,8,32,12,77,0.1,5
19,3,8,34,16,65,0.1,8
20,3,8,42,18,53,0.1,22
21,3,7,42,19,65,0.1,12
22,3,8,42,10,70,0.1,8
23,3,9,45,14,66,0.1,8
24,3,7,44,18,70,0.1,5
1,3,8,38,18,71,0.1,4
2,3,8,37,20,71,0.1,4
3,3,8,38,22,71,0.1,4
4,3,8,40,20,69,0.1,5
5,3,8,44,24,68,0.1,6
6,3,8,49,29,63,0.1,12
7,3,9,50,21,50,0.1,26
8,3,10,59,22,36,0.1,42
9,3,11,45,13,61,0.1,20
10,3,8,24,8,79,0.1,5
11,3,9,23,9,81,0.1,4
12,3,8,24,9,82,0.1,4
13,3,8,30,10,81,0.1,6
14,3,10,25,7,80,0.1,10
15,3,8,24,9,84,0.1,4
16,3,9,20,8,83,0.1,4
17,3,7,18,8,83,0.1,6
18,3,8,18,5,72,0.1,15
19,3,8,18,8,67,0.1,18
20,3,8,16,10,66,0.1,18
21,3,8,17,13,67,0.1,18
22,3,8,16,8,66,0.1,18
23,3,9,14,4,70,0.1,12
24,3,8,34,13,65,0.1,14
1,3,8,27,9,74,0.1,7
2,3,8,15,10,76,0.1,6
3,3,8,14,11,76,0.1,6
4,3,8,14,11,74,0.1,6
5,3,9,18,12,73,0.1,8
6,3,8,18,8,69,0.1,11
7,3,8,24,15,58,0.1,24
8,3,9,27,11,59,0.1,24
9,3,10,31,18,70,0.1,16
10,3,8,32,13,83,0.1,6
11,3,8,26,9,83,0.1,5
12,3,8,24,12,84,0.1,4
13,3,8,17,11,84,0.1,4
14,3,9,22,13,85,0.1,4
15,3,8,18,7,86,0.1,5
16,3,8,19,11,84,0.1,5
17,3,8,18,12,78,0.1,9
18,5,9,22,23,42,0.1,44
19,3,9,42,25,43,0.1,47
20,3,8,31,8,46,0.1,33
21,3,8,14,8,46,0.1,33
22,4,9,6,8,49,0.1,33
23,4,8,10,13,68,0.1,15
24,3,9,32,4,72,0.1,10
1,3,8,37,18,73,0.1,9
2,3,8,43,20,74,0.1,8
3,3,8,54,27,62,0.1,16
4,3,8,28,8,59,0.1,17
5,3,9,4,6,71,0.1,7
6,3,8,4,6,68,0.1,10
7,3,9,10,17,60,0.1,21
8,3,9,18,8,56,0.1,25
9,3,9,17,19,66,0.1,15
10,3,9,26,20,77,0.1,7
11,3,9,28,18,81,0.1,6
12,3,11,34,20,85,0.1,5
13,3,7,23,13,87,0.1,5
14,3,7,20,10,88,0.1,5
15,3,9,22,9,90,0.1,5
16,3,6,22,18,91,0.1,5
17,3,9,22,8,91,0.1,5
18,3,8,18,13,87,0.1,7
19,3,8,21,15,74,0.1,16
20,3,8,26,11,51,0.1,33
21,4,7,14,8,43,0.1,40
22,4,9,12,12,41,0.1,37
23,4,8,13,10,45,0.1,32
24,3,9,11,19,49,0.1,26
1,3,9,37,16,46,0.1,33
2,3,7,22,12,44,0.1,33
3,3,8,25,9,62,0.1,17
4,3,8,14,11,71,0.1,9
5,3,8,14,9,73,0.1,7
6,3,8,13,9,70,0.1,10
7,3,8,18,8,65,0.1,17
8,3,9,16,10,60,0.1,21
9,3,9,18,13,66,0.1,19
10,3,9,27,7,66,0.1,8
11,3,10,30,9,77,0.1,9
12,3,10,17,6,75,0.1,10
13,3,9,20,13,80,0.1,7
14,3,9,25,9,77,0.1,9
15,3,9,38,8,76,0.1,9
16,3,8,33,10,77,0.1,8
17,3,8,18,7,77,0.1,8
18,3,8,15,7,78,0.1,7
19,3,8,11,8,73,0.1,10
20,3,8,11,8,70,0.1,11
21,3,8,10,6,65,0.1,15
22,3,8,6,5,71,0.1,11
23,3,8,6,7,76,0.1,7
24,3,7,6,6,77,0.1,5
1,3,8,12,6,73,0.1,7
2,3,8,16,6,74,0.1,6
3,3,8,12,6,76,0.1,5
4,3,8,6,4,77,0.1,5
5,3,8,5,6,69,0.1,11
6,3,8,13,7,73,0.1,10
7,3,8,7,6,73,0.1,13
8,3,9,6,6,68,0.1,18
9,3,9,51,12,73,0.1,13
10,3,8,16,7,81,0.1,5
11,3,9,18,10,82,0.1,5
12,3,9,15,5,82,0.1,6
13,3,8,20,14,82,0.1,6
14,3,8,22,5,82,0.1,6
15,3,9,37,10,83,0.1,6
16,3,8,33,8,81,0.1,8
17,3,8,26,11,81,0.1,8
18,3,9,20,11,80,0.1,8
19,3,8,20,12,80,0.1,9
20,3,9,18,10,83,0.1,8
21,3,7,19,13,83,0.1,9
22,3,8,16,8,83,0.1,8
23,3,8,14,13,80,0.1,10
24,3,8,14,12,85,0.1,6
1,3,11,14,11,85,0.1,6
2,3,6,14,12,85,0.1,5
3,3,7,18,12,80,0.1,5
4,3,8,14,8,80,0.1,5
5,3,8,14,10,79,0.1,5
6,3,9,15,11,78,0.1,6
7,3,8,16,11,75,0.1,8
8,3,7,18,11,75,0.1,8
9,3,9,21,11,77,0.1,5
10,3,7,24,13,77,0.1,5
11,3,8,27,12,77,0.1,5
12,3,8,24,11,78,0.1,5
13,3,8,23,9,78,0.1,5
14,3,8,34,10,78,0.1,6
15,3,8,40,11,79,0.1,6
16,3,8,45,9,78,0.1,6
17,3,9,32,12,78,0.1,7
18,3,9,20,11,77,0.1,8
19,3,8,15,10,79,0.1,9
20,3,7,14,11,80,0.1,8
21,3,8,12,10,83,0.1,6
22,3,9,12,8,80,0.1,7
23,3,8,10,8,78,0.1,8
24,3,8,9,7,79,0.1,7
1,3,8,9,8,76,0.1,7
2,3,8,10,8,75,0.1,7
3,3,8,9,9,77,0.1,7
4,3,8,11,8,80,0.1,8
5,3,8,10,7,81,0.1,8
6,3,7,11,11,82,0.1,8
7,3,8,14,12,83,0.1,7
8,3,8,14,13,80,0.1,8
9,3,8,19,13,78,0.1,8
10,3,8,19,9,83,0.1,5
11,3,8,20,11,83,0.1,5
12,3,10,22,13,82,0.1,5
13,3,7,25,10,82,0.1,5
14,3,8,20,10,86,0.1,4
15,3,10,16,10,87,0.1,4
16,3,7,20,17,88,0.1,5
17,3,9,22,12,89,0.1,7
18,3,8,26,13,87,0.1,8
19,3,8,22,12,80,0.1,11
20,3,9,21,10,68,0.1,19
21,3,7,15,8,62,0.1,19
22,3,9,4,17,53,0.1,14
23,4,10,22,38,28,0.1,48
24,3,8,43,15,45,0.1,29
1,3,8,23,8,54,0.1,19
2,3,8,18,15,56,0.1,19
3,3,8,18,9,44,0.1,27
4,3,9,15,15,53,0.1,24
5,3,6,17,12,53,0.1,25
6,3,9,14,11,61,0.1,17
7,3,9,20,19,44,0.1,33
8,3,11,23,8,33,0.1,40
9,3,12,24,25,53,0.1,25
10,3,9,30,12,71,0.1,11
11,3,9,25,7,78,0.1,7
12,3,10,9,12,77,0.1,10
13,10,23,16,16,59,0.1,32
14,3,8,26,18,86,0.1,5
15,3,10,27,14,88,0.1,6
16,6,16,19,10,68,0.1,26
17,3,8,22,17,85,0.1,7
18,3,8,26,17,80,0.1,10
19,3,8,27,13,82,0.1,10
20,3,8,24,15,66,0.1,24
21,3,7,23,13,65,0.1,23
22,3,9,15,11,54,0.1,24
23,3,8,14,11,63,0.1,18
24,3,8,4,4,61,0.1,12
